ID Médecin,Sexe,Adresse Hôpital
2868,Homme,"Rue des Hôpitaux 10, 1007 Lausanne, Vaud, Suisse"
2044,Homme,"Avenue des Médecins 5, 1260 Nyon, Vaud, Suisse"
2036,Femme,"Place du Centre Médical 2, 1400 Yverdon-les-Bains, Vaud, Suisse"
2882,Homme,"Boulevard des Cliniques 8, 1800 Vevey, Vaud, Suisse"
2439,Femme,"Route des Urgences 12, 1820 Montreux, Vaud, Suisse"
2424,Femme,"Chemin de la Santé 15, 1040 Echallens, Vaud, Suisse"
2894,Femme,"Rue de l'Hôpital 9, 1530 Payerne, Vaud, Suisse"
2579,Femme,"Place de la Consultation 7, 1610 Oron-la-Ville, Vaud, Suisse"
2117,Femme,"Route du Bien-être 4, 1180 Rolle, Vaud, Suisse"
2071,Homme,"Avenue de la Chirurgie 11, 1095 Lutry, Vaud, Suisse"
2925,Homme,"Rue du Diagnostic 6, 1110 Morges, Vaud, Suisse"
2144,Homme,"Boulevard des Soins 14, 1020 Renens, Vaud, Suisse"
2928,Femme,"Route de la Thérapie 20, 1030 Bussigny, Vaud, Suisse"
2847,Femme,"Chemin des Docteurs 3, 1053 Cugy, Vaud, Suisse"
2316,Homme,"Place de la Médecine 5, 1070 Puidoux, Vaud, Suisse"